Equipo;Titulos;AñosCampeon
Independiente;7;1964,1965,1972,1973,1974,1975,1984
Boca Juniors;6;1977,1978,2000,2001,2003,2007
Peñarol;5;1960,1961,1966,1982,1987
River Plate;4;1986,1996,2015,2018
Estudiantes;4;1968,1969,1970,2009
Olimpia;3;1979,1990,2002
Nacional;3;1971,1980,1988
San Pablo;3;1992,1993,2005
Gremio;3;1983,1995,2017
Santos;3;1962,1963,2011
Cruzeiro;2;1976,1997
Internacional;2;2006,2010
Atletico Nacional;2;1989,2016
Palmeiras;1;1999
Colo-Colo;1;1991
Racing Club;1;1967
Flamengo;1;1981
Argentinos Juniors;1;1985
Velez Sarsfield;1;1994
Vasco da Gama;1;1998
Once Caldas;1;2004
Liga de Quito;1;2008
Corinthians;1;2012
Atletico Mineiro;1;2013
San Lorenzo;1;2014
